RIGOL Bode Data
Para Set
StartFreq:,1000.000000
StopFreq:,25000000.000000
26302.679918,-0.134263,-2.711445
27542.287033,-0.126966,-2.852482
28840.315031,-0.130705,-2.865761
30199.517204,-0.136958,-3.649501
31622.776601,-0.115534,-3.886226
33113.112148,0.068444,-3.761945
34673.685045,-0.087449,-3.508703
36307.805477,-0.110286,-3.691560
38018.939632,-0.104370,-4.041603
39810.717055,-0.140940,-4.033832
41686.938347,-0.106836,-4.642240
43651.583224,-0.058708,-4.448343
45708.818961,-0.093413,-4.727597
47863.009232,-0.105641,-4.803513
50118.723362,-0.061552,-4.564995
52480.746024,-0.098603,-4.872768
54954.087385,-0.110357,-5.291719
57543.993733,-0.150637,-5.390429
60255.958607,-0.175079,-6.402278
63095.734448,-0.093532,-7.869453
66069.344800,0.125990,-7.557144
69183.097091,0.094857,-7.102091
72443.596007,-0.110150,-7.600383
75857.757502,-0.141902,-7.113912
79432.823472,-0.161292,-7.764962
83176.377110,-0.086378,-9.100355
87096.358995,0.115437,-8.827148
91201.083935,-0.098868,-8.685047
95499.258602,-0.108093,-9.203541
100000.000000,-0.143212,-10.048561
104712.854805,-0.124772,-10.804077
109647.819614,0.068665,-11.363987
114815.362149,-0.070892,-11.075985
120226.443461,-0.131132,-12.138294
125892.541179,0.107053,-13.925027
131825.673855,0.190382,-13.903590
138038.426460,0.133782,-13.120147
144543.977074,-0.096660,-15.326038
151356.124843,0.090433,-14.789329
158489.319246,-0.128857,-15.502939
165958.690743,0.144862,-17.574444
173780.082874,0.227087,-17.109934
181970.085860,-0.151888,-17.713882
190546.071796,0.088424,-18.678238
199526.231496,-0.103316,-19.563564
208929.613085,0.222431,-21.089401
218776.162394,0.135081,-20.289909
229086.765276,0.092851,-22.112247
239883.291901,-0.077059,-23.819454
251188.643150,-0.041848,-23.749456
263026.799189,0.165314,-26.364393
275422.870333,0.298539,-27.180141
288403.150312,0.170687,-26.895119
301995.172040,-0.109050,-29.158138
316227.766016,0.459555,-32.193935
331131.121482,0.527962,-31.711607
346736.850452,-0.324304,-32.065781
363078.054770,0.350500,-35.150124
380189.396320,0.342855,-35.939491
398107.170553,-0.310021,-38.344292
416869.383470,0.621312,-41.346413
436515.832240,0.387474,-41.135315
457088.189614,0.238460,-44.218018
478630.092322,0.284583,-45.709114
501187.233627,-0.402195,-47.964539
524807.460249,0.571238,-51.674679
549540.873857,0.785033,-52.673302
575439.937337,-0.649793,-54.278976
602559.586074,-0.470717,-59.855724
630957.344480,0.815622,-62.338608
660693.448007,0.409517,-62.820030
691830.970918,-0.772786,-67.743080
724435.960074,0.619967,-71.373154
758577.575029,-0.422925,-74.067245
794328.234724,-0.537662,-81.646011
831763.771102,0.540839,-84.180939
870963.589956,-0.778365,-88.774513
912010.839355,-0.409097,-96.582306
954992.586021,-0.360473,-100.917816
1000000.000000,0.200143,-108.180229
1047128.548050,0.122172,-112.401741
1096478.196143,-0.536685,-117.087112
1148153.621496,-0.517200,-127.079361
1202264.434617,0.365170,-136.629044
1258925.411794,-0.433636,-142.242767
1318256.738556,-0.597217,-150.798630
1380384.264602,-0.516490,-161.046295
1445439.770745,-0.724241,-169.269257
1513561.248436,-1.087552,170.746002
1584893.192461,-1.832131,165.070587
1659586.907437,-2.426107,156.659622
1737800.828749,-3.397813,148.611526
1819700.858609,-4.306117,134.933807
1905460.717963,-5.414537,125.550316
1995262.314968,-6.313018,112.012810
2089296.130854,-7.853202,104.390320
2187761.623949,-8.915258,91.611855
2290867.652767,-10.374500,83.502441
2398832.919019,-11.768009,76.719162
2511886.431509,-12.891163,64.522575
2630267.991895,-14.540495,57.472492
2754228.703338,-16.694355,48.946686
2884031.503126,-18.354422,43.857994
3019951.720402,-20.415895,40.171413
3162277.660168,-22.650503,30.039324
3311311.214825,-24.000019,19.216438
3467368.504525,-24.325378,16.454433
3630780.547701,-26.631948,16.033562
3801893.963205,-30.890873,20.831898
3981071.705534,-33.088264,-36.264336
4168693.834703,-32.215382,-34.361153
4365158.322401,-32.510925,-18.866917
4570881.896148,-36.496315,25.559078
4786300.923226,-40.517288,-36.513344
5011872.336272,-43.953209,38.234741
5248074.602497,-43.107960,103.810371
5495408.738576,-41.470951,-120.648911
5754399.373371,-41.863976,-106.845230
6025595.860743,-41.017437,-71.603256
6309573.444801,-40.453098,53.780518
6606934.480075,-40.993351,83.417679
6918309.709189,-49.299065,106.274818
7244359.600749,-48.487392,133.255722
7585775.750291,-51.563927,155.559296
7943282.347242,-47.573914,121.519508
8317637.711026,-41.704857,129.084183
8709635.899560,-41.887550,140.991760
9120108.393559,-44.414680,140.990265
9549925.860214,-41.132004,115.922852
10000000.000000,-37.893448,128.623505
10471285.480508,-36.450123,136.487473
10964781.961431,-35.791725,147.616821
11481536.214968,-37.188705,157.047745
12022644.346174,-38.378887,138.564362
12589254.117941,-36.220654,119.111221
13182567.385564,-32.587933,115.153564
13803842.646028,-31.135460,119.254684
14454397.707459,-31.769606,133.444855
15135612.484362,-31.243513,124.004715
15848931.924611,-29.594776,117.477150
16595869.074375,-25.001524,112.918442
17378008.287493,-25.641293,108.133987
18197008.586099,-26.362566,85.147446
19054607.179632,-25.846722,78.270782
19952623.149688,-24.803364,81.129593
20892961.308540,-24.407440,79.688965
21877616.239495,-22.100883,68.604774
22908676.527677,-21.403160,57.721844
23988329.190194,-21.018637,49.967144
25000000.000000,-20.917839,42.788033
