RIGOL Bode Data
Para Set
StartFreq:,1000.000000
StopFreq:,5000000.000000
316227.766016,0.447682,-32.319145
331131.121482,0.526324,-32.262421
346736.850452,-0.357659,-32.541672
363078.054770,0.371141,-35.429245
380189.396320,0.231411,-35.708870
398107.170553,-0.229399,-38.026947
416869.383470,0.569065,-41.266083
436515.832240,0.314939,-41.024780
457088.189614,0.205062,-44.398090
478630.092322,0.193561,-46.036385
501187.233627,-0.300427,-48.215416
524807.460249,0.556558,-51.263428
549540.873857,0.731405,-52.451725
575439.937337,-0.614147,-52.884964
602559.586074,-0.459869,-58.164711
630957.344480,0.763008,-61.232937
660693.448007,0.441135,-61.426594
691830.970918,-0.736752,-67.429596
724435.960074,0.626880,-71.362030
758577.575029,-0.330076,-74.149490
794328.234724,-0.388032,-81.601028
831763.771102,0.449060,-83.465660
870963.589956,-0.612483,-88.799187
912010.839355,-0.307150,-95.955292
954992.586021,-0.327329,-99.753372
1000000.000000,0.194866,-108.230270
1047128.548050,0.187932,-112.657639
1096478.196143,-0.500014,-116.797722
1148153.621496,-0.554169,-127.683090
1202264.434617,0.404893,-135.965057
1258925.411794,-0.431347,-141.343933
1318256.738556,-0.593739,-150.497467
1380384.264602,-0.508225,-159.489548
1445439.770745,-0.857286,-168.425232
1513561.248436,-1.048186,170.927628
1584893.192461,-1.883178,166.579285
1659586.907437,-2.381544,157.867401
1737800.828749,-3.364661,148.597137
1819700.858609,-4.267164,134.674088
1905460.717963,-5.368834,124.861198
1995262.314968,-6.204318,112.094131
2089296.130854,-7.756842,103.490097
2187761.623949,-8.848969,91.158783
2290867.652767,-10.346648,83.412750
2398832.919019,-11.712303,76.215698
2511886.431509,-12.775871,62.938286
2630267.991895,-14.510145,55.965591
2754228.703338,-16.402596,50.613953
2884031.503126,-18.168335,44.828033
3019951.720402,-19.951962,38.942245
3162277.660168,-22.643877,27.513464
3311311.214825,-23.930901,17.840956
3467368.504525,-24.969257,15.365429
3630780.547701,-26.791290,18.579279
3801893.963205,-30.644323,20.905331
3981071.705534,-32.837479,-24.985573
4168693.834703,-32.375557,-26.748581
4365158.322401,-32.445076,-15.845165
4570881.896148,-36.662956,23.962666
4786300.923226,-40.388004,-33.930958
5000000.000000,-40.956955,-42.196701
